Estimated values:[[  9.49593396e-01]
 [  9.83787700e-01]
 [  8.35397609e-11]
 [  1.00000000e+00]
 [  1.77589962e-08]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  2.88279198e-12]
 [  2.90427788e-12]
 [  4.75126005e-10]
 [  5.87017400e-10]
 [  1.00000000e+00]
 [  2.88427001e-12]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  2.88240688e-12]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  3.76856414e-04]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  2.96464267e-12]
 [  9.99949974e-01]
 [  1.00000000e+00]
 [  2.88287985e-12]
 [  1.27529882e-06]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  9.99983159e-01]
 [  6.46254603e-04]
 [  1.00000000e+00]
 [  2.89192912e-12]
 [  9.63999692e-01]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  9.44839975e-01]
 [  2.95509225e-12]
 [  7.72010413e-12]
 [  9.99996999e-01]
 [  1.00000000e+00]
 [  9.07357093e-12]
 [  2.88298435e-12]
 [  9.99999999e-01]
 [  1.00000000e+00]
 [  2.88221200e-12]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  6.61797053e-12]
 [  2.88372089e-12]
 [  2.91421043e-11]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  4.14682248e-04]
 [  9.35286728e-01]
 [  3.23261750e-12]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  9.45283887e-01]
 [  2.88218531e-12]
 [  1.00000000e+00]
 [  2.88221333e-12]
 [  2.88225008e-12]
 [  3.80346826e-12]
 [  1.00000000e+00]
 [  9.59565268e-01]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  7.28912057e-11]
 [  2.88220024e-12]
 [  1.00000000e+00]
 [  9.99962888e-01]
 [  9.49312999e-01]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  2.26287076e-09]
 [  9.40110130e-01]
 [  1.02376691e-10]
 [  9.24339145e-01]
 [  2.88218879e-12]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  2.88220289e-12]
 [  2.88239183e-12]
 [  2.92376916e-12]
 [  1.00000000e+00]
 [  2.91414825e-12]
 [  1.00000000e+00]
 [  2.88237221e-12]
 [  2.88251988e-12]
 [  1.00000000e+00]
 [  8.75395886e-01]
 [  9.97215343e-01]
 [  9.99999950e-01]
 [  1.00000000e+00]
 [  9.54751826e-01]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  4.63035311e-12]
 [  9.99973650e-01]
 [  1.00000000e+00]
 [  2.88908917e-12]
 [  3.12300670e-12]
 [  4.25026949e-12]
 [  2.88237989e-12]
 [  5.99704100e-06]
 [  1.00000000e+00]
 [  9.94509175e-01]
 [  1.00000000e+00]
 [  7.54844526e-11]
 [  4.96101794e-02]
 [  2.88258187e-12]
 [  2.88737014e-12]
 [  9.99999998e-01]
 [  2.88239103e-12]
 [  2.88224020e-12]
 [  1.00000000e+00]
 [  2.95562136e-12]
 [  2.88620131e-12]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  2.88320909e-12]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  2.89945031e-12]
 [  1.00000000e+00]
 [  2.47280298e-05]
 [  9.99999994e-01]
 [  2.88600379e-12]
 [  7.25351036e-06]
 [  9.99998593e-01]
 [  1.00000000e+00]
 [  2.89863401e-12]
 [  1.10079651e-01]
 [  2.90246094e-12]
 [  2.90216371e-12]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  9.99999886e-01]
 [  1.00000000e+00]
 [  1.28113172e-03]
 [  3.00883384e-12]
 [  2.88225566e-12]
 [  2.88220529e-12]
 [  1.00000000e+00]
 [  2.88234585e-12]
 [  2.88220667e-12]
 [  1.00000000e+00]
 [  2.62497994e-08]
 [  2.88227200e-12]
 [  2.90670730e-12]
 [  2.88632069e-12]
 [  1.00000000e+00]
 [  2.88329227e-12]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  9.99975938e-01]
 [  9.99999995e-01]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  3.73410486e-12]
 [  2.88240073e-12]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  1.10978660e-02]
 [  9.99992508e-01]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  7.29700190e-01]
 [  3.37361039e-12]
 [  1.00000000e+00]
 [  6.79446293e-10]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  4.53786756e-06]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  2.88519237e-12]
 [  2.88430152e-12]
 [  2.88455102e-12]
 [  2.88223993e-12]
 [  3.17586292e-12]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  2.88435482e-12]
 [  9.99999995e-01]
 [  2.89503508e-12]
 [  9.37448278e-01]
 [  2.88224755e-12]
 [  2.88283831e-12]
 [  6.55512184e-12]
 [  2.18065688e-04]
 [  8.46246607e-01]
 [  2.88375323e-12]
 [  1.00000000e+00]
 [  6.92438464e-10]
 [  6.98439245e-11]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  2.88220744e-12]
 [  1.00000000e+00]
 [  2.88301002e-12]
 [  2.88223711e-12]
 [  1.00000000e+00]
 [  6.95277464e-02]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  9.99979514e-01]
 [  9.99999995e-01]
 [  2.91410663e-12]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  9.06717073e-01]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  4.27995986e-07]
 [  9.99999815e-01]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  2.88295301e-12]
 [  2.88309636e-12]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  2.88220845e-12]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  9.99997507e-01]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  3.08165093e-12]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  2.88218513e-12]
 [  6.82910400e-11]
 [  2.88266881e-12]
 [  9.18204821e-01]
 [  1.00000000e+00]
 [  2.88243131e-12]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  2.89037524e-12]
 [  7.37259041e-06]
 [  1.00000000e+00]
 [  9.99999575e-01]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  2.89189729e-12]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  3.69433395e-04]
 [  2.88500161e-12]
 [  2.88219875e-12]
 [  1.00000000e+00]
 [  1.56565841e-02]
 [  9.89101949e-01]
 [  2.88270779e-12]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  2.88220618e-12]
 [  2.99393315e-10]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  6.29184684e-12]
 [  2.92426307e-12]
 [  3.09720234e-12]
 [  3.53211699e-12]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  3.78637247e-12]
 [  2.88219540e-12]
 [  1.34303824e-09]
 [  2.88616598e-12]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  2.88387975e-12]
 [  1.00000000e+00]
 [  2.91897480e-12]
 [  1.00000000e+00]
 [  2.88436945e-12]
 [  2.88264586e-12]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  4.38963955e-05]
 [  2.88220999e-12]
 [  1.00000000e+00]
 [  9.99999993e-01]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  1.17248657e-10]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  1.86373251e-11]
 [  3.04614134e-12]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  5.02372042e-09]
 [  9.99999707e-01]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  9.75221638e-01]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  2.88247936e-12]
 [  1.00000000e+00]
 [  9.99999956e-01]
 [  2.88232621e-12]
 [  1.00000000e+00]
 [  2.88558673e-12]
 [  1.00000000e+00]
 [  6.40190871e-12]
 [  2.88240896e-12]
 [  2.88260065e-12]
 [  2.06143364e-03]
 [  9.86577242e-01]
 [  1.00000000e+00]
 [  2.88235262e-12]
 [  1.00000000e+00]
 [  7.20424432e-12]
 [  3.29362264e-12]
 [  2.88293256e-12]
 [  3.24218425e-06]
 [  2.88227981e-12]
 [  2.88634584e-12]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  9.98555425e-01]
 [  1.00000000e+00]
 [  9.99973287e-01]
 [  1.59697779e-01]
 [  1.00000000e+00]
 [  1.24578530e-01]
 [  1.00000000e+00]
 [  9.93933027e-01]
 [  9.22460446e-08]
 [  1.00000000e+00]
 [  2.88281927e-12]
 [  2.88221205e-12]
 [  1.00000000e+00]
 [  9.88239150e-01]
 [  1.00000000e+00]
 [  2.90158352e-12]
 [  3.77373916e-12]
 [  3.11836445e-02]
 [  1.00000000e+00]
 [  9.89534881e-01]
 [  9.99999981e-01]
 [  2.92938147e-12]
 [  3.63417258e-12]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  1.11204752e-09]
 [  1.00000000e+00]
 [  2.91421968e-12]
 [  1.51160870e-11]
 [  9.99999952e-01]
 [  1.20346498e-05]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  1.62754412e-09]
 [  1.00000000e+00]
 [  2.88228738e-12]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  2.88298351e-12]
 [  1.00000000e+00]
 [  2.88334013e-12]
 [  2.96175488e-12]
 [  1.00000000e+00]
 [  2.88222700e-12]
 [  1.00000000e+00]
 [  1.16121955e-06]
 [  9.99890902e-01]
 [  9.99981510e-01]
 [  3.37238814e-12]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  2.88218747e-12]
 [  2.88808441e-12]
 [  1.00000000e+00]
 [  2.88448762e-12]
 [  1.00000000e+00]
 [  2.94696626e-12]
 [  9.99401226e-01]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  2.88300422e-12]
 [  2.88319099e-12]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  9.98340288e-01]
 [  1.00000000e+00]
 [  2.88296668e-12]
